Date,Price,Free Capital,Held Positions,Invested Capital,Daily Returns,Drawdown
2020-01-01,6174.0,10000.0,0,0.0,0.0,0.0
2020-01-02,6188.0,10000.0,0,0.0,0.0,0.0
2020-01-03,6129.5,10000.0,0,0.0,0.0,0.0
2020-01-06,6138.5,10000.0,0,0.0,0.0,0.0
2020-01-07,6149.0,10000.0,0,0.0,0.0,0.0
2020-01-08,6178.0,10000.0,0,0.0,0.0,0.0
2020-01-09,6180.0,10000.0,0,0.0,0.0,0.0
2020-01-10,6198.0,10000.0,0,0.0,0.0,0.0
2020-01-13,6290.0,10000.0,0,0.0,0.0,0.0
2020-01-14,6302.0,3698.0,1,6302.0,0.0,0.0
2020-01-15,6287.0,3698.0,1,6287.0,-0.0014999999999999458,-0.15
2020-01-16,6277.5,3698.0,1,6277.5,-0.0009514271407110586,-0.245
2020-01-17,6273.0,3698.0,1,6273.0,-0.0004511052077590394,-0.29
2020-01-20,6259.0,9957.0,0,0.0,-0.0014040718082438675,-0.43
2020-01-21,6160.0,9957.0,0,0.0,0.0,-0.43
2020-01-22,6106.0,9957.0,0,0.0,0.0,-0.43
2020-01-23,5987.0,9957.0,0,0.0,0.0,-0.43
2020-01-24,5926.0,9957.0,0,0.0,0.0,-0.43
2020-01-27,5743.0,9957.0,0,0.0,0.0,-0.43
2020-01-28,5703.0,9957.0,0,0.0,0.0,-0.43
2020-01-29,5641.0,9957.0,0,0.0,0.0,-0.43
2020-01-30,5587.5,9957.0,0,0.0,0.0,-0.43
2020-01-31,5567.0,9957.0,0,0.0,0.0,-0.43
2020-02-03,5525.0,9957.0,0,0.0,0.0,-0.43
2020-02-04,5618.0,9957.0,0,0.0,0.0,-0.43
2020-02-05,5722.0,9957.0,0,0.0,0.0,-0.43
2020-02-06,5735.0,9957.0,0,0.0,0.0,-0.43
2020-02-07,5663.0,9957.0,0,0.0,0.0,-0.43
2020-02-10,5667.0,9957.0,0,0.0,0.0,-0.43
2020-02-11,5745.0,9957.0,0,0.0,0.0,-0.43
2020-02-12,5764.0,4193.0,1,5764.0,0.0,-0.43
2020-02-13,5790.0,4193.0,1,5790.0,0.0026112282816108667,-0.16999999999999998
2020-02-14,5760.0,4193.0,1,5760.0,-0.003005108684764113,-0.47000000000000003
2020-02-17,5812.0,4193.0,1,5812.0,0.005224555410429099,0.0
